date,doy,length,u200
2012-01-01 00:00:00,0,22183,12.78
2012-01-02 00:00:00,1,22271,11.33
2012-01-03 00:00:00,2,22366,24.17
2012-01-04 00:00:00,3,22468,14.91
2012-01-05 00:00:00,4,22577,21.08
2012-01-06 00:00:00,5,22693,12.59
2012-01-07 00:00:00,6,22817,16.18
2012-01-08 00:00:00,7,22947,11.86
2012-01-09 00:00:00,8,23083,10.33
2012-01-10 00:00:00,9,23225,8.59
2012-01-11 00:00:00,10,23374,8.87
2012-01-12 00:00:00,11,23528,16.29
2012-01-13 00:00:00,12,23689,10.37
2012-01-14 00:00:00,13,23855,5.18
2012-01-15 00:00:00,14,24026,4.60
2012-01-16 00:00:00,15,24202,5.47
2012-01-17 00:00:00,16,24383,5.19
2012-01-18 00:00:00,17,24569,14.03
2012-01-19 00:00:00,18,24760,9.92
2012-01-20 00:00:00,19,24954,13.21
2012-01-21 00:00:00,20,25152,16.59
2012-01-22 00:00:00,21,25355,18.86
2012-01-23 00:00:00,22,25561,10.32
2012-01-24 00:00:00,23,25771,5.84
2012-01-25 00:00:00,24,25984,8.21
2012-01-26 00:00:00,25,26201,12.98
2012-01-27 00:00:00,26,26419,9.96
2012-01-28 00:00:00,27,26642,3.69
2012-01-29 00:00:00,28,26867,4.62
2012-01-30 00:00:00,29,27093,4.00
2012-01-31 00:00:00,30,27323,7.68
2012-02-01 00:00:00,31,27554,10.68
2012-02-02 00:00:00,32,27788,7.58
2012-02-03 00:00:00,33,28024,6.09
2012-02-04 00:00:00,34,28261,3.43
2012-02-05 00:00:00,35,nan,nan
2012-02-06 00:00:00,36,28740,5.11
2012-02-07 00:00:00,37,28982,9.28
2012-02-08 00:00:00,38,29225,7.78
2012-02-09 00:00:00,39,29470,7.35
2012-02-10 00:00:00,40,29716,6.37
2012-02-11 00:00:00,41,29963,6.61
2012-02-12 00:00:00,42,30210,4.65
2012-02-13 00:00:00,43,30459,7.24
2012-02-14 00:00:00,44,30708,10.23
2012-02-15 00:00:00,45,30958,15.12
2012-02-16 00:00:00,46,31209,7.24
2012-02-17 00:00:00,47,31460,7.99
2012-02-18 00:00:00,48,31711,14.32
2012-02-19 00:00:00,49,31964,10.93
2012-02-20 00:00:00,50,32216,8.58
2012-02-21 00:00:00,51,32469,10.07
2012-02-22 00:00:00,52,32722,13.46
2012-02-23 00:00:00,53,32975,8.90
2012-02-24 00:00:00,54,33228,10.53
2012-02-25 00:00:00,55,33480,7.59
2012-02-26 00:00:00,56,33734,6.09
2012-02-27 00:00:00,57,33987,8.73
2012-02-28 00:00:00,58,34240,6.90
2012-02-29 00:00:00,59,34493,5.10
2012-03-01 00:00:00,60,34746,1.57
2012-03-02 00:00:00,61,34998,4.16
2012-03-03 00:00:00,62,35251,6.05
2012-03-04 00:00:00,63,35503,6.63
2012-03-05 00:00:00,64,35754,9.63
2012-03-06 00:00:00,65,36006,4.70
2012-03-07 00:00:00,66,36256,13.95
2012-03-08 00:00:00,67,36507,7.79
2012-03-09 00:00:00,68,36758,9.28
2012-03-10 00:00:00,69,37007,7.53
2012-03-11 00:00:00,70,37256,5.30
2012-03-12 00:00:00,71,37506,4.99
2012-03-13 00:00:00,72,37754,2.37
2012-03-14 00:00:00,73,38002,1.47
2012-03-15 00:00:00,74,38250,3.12
2012-03-16 00:00:00,75,38497,5.79
2012-03-17 00:00:00,76,38743,6.51
2012-03-18 00:00:00,77,38990,8.77
2012-03-19 00:00:00,78,39235,6.00
2012-03-20 00:00:00,79,39480,5.70
2012-03-21 00:00:00,80,39725,2.29
2012-03-22 00:00:00,81,39968,6.52
2012-03-23 00:00:00,82,40211,4.32
2012-03-24 00:00:00,83,40453,4.94
2012-03-25 00:00:00,84,40695,4.24
2012-03-26 00:00:00,85,40936,6.36
2012-03-27 00:00:00,86,41176,4.33
2012-03-28 00:00:00,87,41416,4.79
2012-03-29 00:00:00,88,41654,8.85
2012-03-30 00:00:00,89,41892,8.83
2012-03-31 00:00:00,90,42129,10.05
2012-04-01 00:00:00,91,42365,6.55
2012-04-02 00:00:00,92,42601,3.56
2012-04-03 00:00:00,93,42835,2.65
2012-04-04 00:00:00,94,43069,3.87
2012-04-05 00:00:00,95,43301,6.53
2012-04-06 00:00:00,96,43533,4.50
2012-04-07 00:00:00,97,43763,7.39
2012-04-08 00:00:00,98,43994,4.85
2012-04-09 00:00:00,99,44223,11.38
2012-04-10 00:00:00,100,44451,7.89
2012-04-11 00:00:00,101,44677,6.42
2012-04-12 00:00:00,102,44904,3.10
2012-04-13 00:00:00,103,45128,3.03
2012-04-14 00:00:00,104,45352,5.23
2012-04-15 00:00:00,105,45575,11.47
2012-04-16 00:00:00,106,45795,7.18
2012-04-17 00:00:00,107,46015,13.42
2012-04-18 00:00:00,108,46234,11.78
2012-04-19 00:00:00,109,46451,11.46
2012-04-20 00:00:00,110,46668,7.71
2012-04-21 00:00:00,111,46882,7.34
2012-04-22 00:00:00,112,47095,9.04
2012-04-23 00:00:00,113,47306,8.55
2012-04-24 00:00:00,114,47517,4.31
2012-04-25 00:00:00,115,47724,11.99
2012-04-26 00:00:00,116,47932,14.12
2012-04-27 00:00:00,117,48136,8.69
2012-04-28 00:00:00,118,48340,9.80
2012-04-29 00:00:00,119,48541,5.65
2012-04-30 00:00:00,120,48741,5.29
2012-05-01 00:00:00,121,48939,5.57
2012-05-02 00:00:00,122,49133,5.30
2012-05-03 00:00:00,123,49327,5.29
2012-05-04 00:00:00,124,49519,6.12
2012-05-05 00:00:00,125,49708,6.32
2012-05-06 00:00:00,126,49895,6.41
2012-05-07 00:00:00,127,50079,4.90
2012-05-08 00:00:00,128,50261,8.66
2012-05-09 00:00:00,129,50441,6.73
2012-05-10 00:00:00,130,50618,12.94
2012-05-11 00:00:00,131,50792,11.13
2012-05-12 00:00:00,132,50964,7.23
2012-05-13 00:00:00,133,51134,2.85
2012-05-14 00:00:00,134,51299,8.55
2012-05-15 00:00:00,135,51462,7.93
2012-05-16 00:00:00,136,51622,10.02
2012-05-17 00:00:00,137,51779,5.53
2012-05-18 00:00:00,138,51933,8.51
2012-05-19 00:00:00,139,52084,4.88
2012-05-20 00:00:00,140,52231,5.54
2012-05-21 00:00:00,141,52374,8.39
2012-05-22 00:00:00,142,52514,5.47
2012-05-23 00:00:00,143,52650,2.45
2012-05-24 00:00:00,144,52784,4.72
2012-05-25 00:00:00,145,52912,11.04
2012-05-26 00:00:00,146,53037,8.13
2012-05-27 00:00:00,147,53158,5.59
2012-05-28 00:00:00,148,53274,6.21
2012-05-29 00:00:00,149,53387,3.62
2012-05-30 00:00:00,150,53496,2.84
2012-05-31 00:00:00,151,53599,8.03
2012-06-01 00:00:00,152,53699,5.04
2012-06-02 00:00:00,153,53795,3.89
2012-06-03 00:00:00,154,53885,6.69
2012-06-04 00:00:00,155,53971,8.60
2012-06-05 00:00:00,156,54052,4.12
2012-06-06 00:00:00,157,54128,9.03
2012-06-07 00:00:00,158,54201,6.50
2012-06-08 00:00:00,159,54267,14.22
2012-06-09 00:00:00,160,54329,13.74
2012-06-10 00:00:00,161,54386,4.52
2012-06-11 00:00:00,162,54438,6.45
2012-06-12 00:00:00,163,54485,6.41
2012-06-13 00:00:00,164,54526,5.64
2012-06-14 00:00:00,165,54564,2.44
2012-06-15 00:00:00,166,54594,10.20
2012-06-16 00:00:00,167,54621,10.02
2012-06-17 00:00:00,168,54641,8.70
2012-06-18 00:00:00,169,54658,6.98
2012-06-19 00:00:00,170,54668,2.60
2012-06-20 00:00:00,171,54673,7.13
2012-06-21 00:00:00,172,54672,8.79
2012-06-22 00:00:00,173,54667,13.09
2012-06-23 00:00:00,174,54657,10.31
2012-06-24 00:00:00,175,54641,12.35
